# This file is dedicated to the public domain.

# Special named variables. Their values are managed in the equivalents table,
# and they have special primitive control sequences for doing things with
# their values.

#name			type

lineskip		glue
baselineskip		glue
parskip			glue
abovedisplayskip	glue
belowdisplayskip	glue
abovedisplayshortskip	glue
belowdisplayshortskip	glue
leftskip		glue
rightskip		glue
topskip			glue
splittopskip		glue
tabskip			glue
spaceskip		glue
xspaceskip		glue
parfillskip		glue

thinmuskip		muglue
medmuskip		muglue
thickmuskip		muglue

output			toklist
everypar		toklist
everymath		toklist
everydisplay		toklist
everyhbox		toklist
everyvbox		toklist
everyjob		toklist
everycr			toklist
everyeof		toklist
errhelp			toklist

pretolerance		int
tolerance		int
linepenalty		int
hyphenpenalty		int
exhyphenpenalty		int
clubpenalty		int
widowpenalty		int
displaywidowpenalty	int
brokenpenalty		int
binoppenalty		int
relpenalty		int
predisplaypenalty	int
postdisplaypenalty	int
interlinepenalty	int
doublehyphendemerits	int
finalhyphendemerits	int
adjdemerits		int
mag			int
delimiterfactor		int
looseness		int
time			int
day			int
month			int
year			int
showboxbreadth		int
showboxdepth		int
hbadness		int
vbadness		int
pausing			int
tracingonline		int
tracingmacros		int
tracingstats		int
tracingparagraphs	int
tracingpages		int
tracingoutput		int
tracinglostchars	int
tracingcommands		int
tracingrestores		int
uchyph			int
outputpenalty		int
maxdeadcycles		int
hangafter		int
floatingpenalty		int
globaldefs		int
fam			int
escapechar		int
defaulthyphenchar	int
defaultskewchar		int
endlinechar		int
newlinechar		int
language		int
lefthyphenmin		int
righthyphenmin		int
holdinginserts		int
errorcontextlines	int

# eTeX:
eTeXversion		int
grouplevel		int
grouptype		int
interactionmode		int
lastnodetype		int
predisplaydirection	int
TeXXeTstate		int
tracingassigns		int
tracinggroups		int
tracingifs		int
tracingscantokens	int

parindent		dimen
mathsurround		dimen
lineskiplimit		dimen
hsize			dimen
vsize			dimen
maxdepth		dimen
splitmaxdepth		dimen
boxmaxdepth		dimen
hfuzz			dimen
vfuzz			dimen
delimitershortfall	dimen
nulldelimiterspace	dimen
scriptspace		dimen
predisplaysize		dimen
displaywidth		dimen
displayindent		dimen
overfullrule		dimen
hangindent		dimen
hoffset			dimen
voffset			dimen
emergencystretch	dimen
